Date,Open,High,Low,Close,Adj Close,Volume
2019-11-14,47.459999,47.560001,46.889999,47.070000,46.730389,2096300
2019-11-15,46.930000,47.360001,46.540001,47.279999,46.938873,1349600
2019-11-18,47.160000,48.119999,47.070000,48.040001,47.693390,1889900
2019-11-19,48.000000,48.209999,47.880001,48.160000,47.812523,1112100
2019-11-20,48.230000,48.389999,47.910000,48.279999,47.931656,1208300
2019-11-21,48.029999,48.200001,46.840000,46.840000,46.502048,2533000
2019-11-22,46.860001,47.080002,46.099998,46.830002,46.492123,1924800
2019-11-25,46.970001,46.970001,46.360001,46.799999,46.462337,1392000
2019-11-26,46.910000,47.119999,46.509998,47.099998,46.760170,2837000
2019-11-27,47.270000,47.709999,46.950001,47.060001,46.720463,1742000
2019-11-29,46.980000,47.009998,46.410000,46.570000,46.233997,1140200
2019-12-02,46.470001,47.160000,46.150002,47.139999,46.799885,2485500
2019-12-03,46.959999,47.849998,46.830002,47.580002,47.236710,4855700
2019-12-04,47.490002,48.889999,47.490002,48.470001,48.120289,5655700
2019-12-05,48.509998,48.930000,47.580002,47.630001,47.286350,4524600
2019-12-06,47.830002,48.310001,47.619999,47.750000,47.405483,2378200
2019-12-09,47.750000,48.320000,47.700001,48.240002,47.891949,2243300
2019-12-10,48.119999,48.799999,47.950001,48.389999,48.040863,2179600
2019-12-11,48.419998,48.459999,47.910000,47.980000,47.633823,1994300
2019-12-12,47.900002,48.119999,47.590000,47.709999,47.365772,1466900
2019-12-13,47.590000,48.150002,47.570000,47.860001,47.514690,1313200
2019-12-16,47.950001,48.009998,47.590000,47.959999,47.613968,1364800
2019-12-17,47.849998,48.169998,47.650002,47.759998,47.415409,1504000
2019-12-18,48.150002,48.310001,48.029999,48.220001,47.872093,1703300
2019-12-19,48.490002,48.759998,48.060001,48.220001,47.872093,2323800
2019-12-20,48.410000,49.259998,48.220001,49.169998,48.815235,6268000
2019-12-23,49.380001,49.439999,48.919998,49.110001,48.755672,1127900
2019-12-24,49.189999,49.400002,49.029999,49.230000,48.874805,420600
2019-12-26,49.240002,49.349998,48.910000,49.020000,48.666321,1932100
2019-12-27,49.119999,49.490002,49.000000,49.459999,49.103146,831700
2019-12-30,49.310001,49.540001,49.080002,49.250000,48.894661,1285400
